Date,Open,High,Low,Close
01-Sep-20,38754,39226.82,38542.11,38900.8
02-Sep-20,38892.64,39141.84,38736.22,39086.03
03-Sep-20,39165.8,39236.36,38943.43,38990.94
04-Sep-20,38325,38729.66,38249.77,38357.18
07-Sep-20,38284.78,38519.92,38060.74,38417.23
08-Sep-20,38498.07,38746.48,38275.45,38365.35
09-Sep-20,37988.56,38252.67,37935.26,38193.92
10-Sep-20,38516.88,38878.25,38367.07,38840.32
11-Sep-20,38865.17,38978.52,38711.8,38854.55
14-Sep-20,39073.51,39230.16,38573.17,38756.63
15-Sep-20,38904.67,39102.25,38753.68,39044.35
16-Sep-20,39161.01,39359.51,39037.96,39302.85
17-Sep-20,39120.64,39234.81,38926.34,38979.85
18-Sep-20,39200.42,39200.42,38635.73,38845.82
21-Sep-20,38812.69,38990.76,37938.53,38034.14
22-Sep-20,38200.71,38209.97,37531.14,37734.08
23-Sep-20,38124.94,38140.07,37313.09,37668.42
24-Sep-20,37282.18,37304.26,36495.98,36553.6
25-Sep-20,36991.89,37471.17,36730.52,37388.66
28-Sep-20,37756.25,38035.87,37544.05,37981.63
29-Sep-20,38176.86,38235.94,37831.35,37973.22
30-Sep-20,38068.89,38236.34,37828.11,38067.93
01-Oct-20,38410.2,38738.89,38410.2,38697.05
05-Oct-20,38956.78,39263.85,38819.89,38973.7
06-Oct-20,39336.34,39623.76,39191.1,39574.57
07-Oct-20,39633.19,39968.04,39450.82,39878.95
08-Oct-20,40204.32,40468.88,40062.23,40182.67
09-Oct-20,40226.25,40585.36,40066.54,40509.49
12-Oct-20,40716.95,40905.49,40387.4,40593.8
13-Oct-20,40592.54,40786.82,40461.97,40625.51
14-Oct-20,40623.19,40880.25,40279.55,40794.74
15-Oct-20,41048.05,41048.05,39667.47,39728.41
16-Oct-20,39936.61,40125.71,39699.42,39982.98
19-Oct-20,40318.57,40519.48,40211.22,40431.6
20-Oct-20,40420.29,40732.01,40305.59,40544.37
21-Oct-20,40767.14,40976.02,40150.48,40707.31
22-Oct-20,40531.31,40721.57,40309.05,40558.49
23-Oct-20,40728.39,40811.12,40590.9,40685.5
26-Oct-20,40649.76,40724.4,39948.29,40145.5
27-Oct-20,40199.08,40555.6,39978.39,40522.1
28-Oct-20,40664.35,40664.35,39774.6,39922.46
29-Oct-20,39537.17,40010.83,39524.25,39749.85
30-Oct-20,39779.82,39988.25,39241.87,39614.07
02-Nov-20,39880.38,39968.03,39334.92,39757.58
03-Nov-20,39990.75,40354.73,39952.79,40261.13
04-Nov-20,40171.71,40693.51,40076.47,40616.14
05-Nov-20,41112.12,41370.91,41030.17,41340.16
06-Nov-20,41438.76,41954.93,41383.29,41893.06
09-Nov-20,42273.97,42645.33,42263.64,42597.43
10-Nov-20,42959.25,43316.44,42660.09,43277.65
11-Nov-20,43444.06,43708.47,42970.21,43593.67
12-Nov-20,43291.89,43543.96,43127.55,43357.19
13-Nov-20,43298.92,43522.25,43053.37,43443
14-Nov-20,43815.45,43830.93,43535.77,43637.98
17-Nov-20,44095.85,44161.16,43699.22,43952.71
18-Nov-20,43978.58,44215.49,43785.78,44180.05
19-Nov-20,43902.24,44230,43518.11,43599.96
20-Nov-20,43732.14,44013.02,43453.75,43882.25
23-Nov-20,44164.17,44271.15,43747.22,44077.15
24-Nov-20,44341.19,44601.63,44247.12,44523.02
25-Nov-20,44749.73,44825.37,43757.97,43828.1
26-Nov-20,43967.59,44361.78,43582.4,44259.74
27-Nov-20,44325.03,44407.28,43995.41,44149.72
01-Dec-20,44435.83,44730.79,44118.1,44655.44
02-Dec-20,44729.52,44729.64,44169.97,44618.04
03-Dec-20,44902.02,44953.01,44551.42,44632.65
04-Dec-20,44665.91,45148.28,44665.91,45079.55
07-Dec-20,45099.92,45458.92,45024.47,45426.97
08-Dec-20,45568.8,45742.23,45335.17,45608.51
09-Dec-20,45891.04,46164.1,45792.01,46103.5
10-Dec-20,45999.42,46043.97,45685.87,45959.88
11-Dec-20,46060.32,46309.63,45706.22,46099.01
14-Dec-20,46284.7,46373.34,45951.53,46253.46
15-Dec-20,46287.39,46350.3,45841.67,46263.17
16-Dec-20,46573.31,46704.97,46402.2,46666.46
17-Dec-20,46774.32,46992.57,46627.6,46890.34
18-Dec-20,47026.02,47026.02,46630.31,46960.69
21-Dec-20,46932.18,47055.69,44923.08,45553.96
22-Dec-20,45529.61,46080.18,45112.19,46006.69
23-Dec-20,46072.3,46513.32,45899.1,46444.18
24-Dec-20,46743.49,47053.4,46539.02,46973.54
28-Dec-20,47153.59,47406.72,47148.24,47353.75
29-Dec-20,47466.62,47714.55,47361.9,47613.08
30-Dec-20,47789.03,47807.85,47358.36,47746.22
31-Dec-20,47753.11,47896.97,47602.12,47751.33
01-Jan-21,47785.28,47980.36,47771.15,47868.98
04-Jan-21,48109.17,48220.47,47594.47,48176.8
05-Jan-21,48037.63,48486.24,47903.38,48437.78
06-Jan-21,48616.66,48616.66,47864.14,48174.06
07-Jan-21,48524.36,48558.34,48037.87,48093.32
08-Jan-21,48464.91,48854.34,48365.58,48782.51
11-Jan-21,49252.31,49303.79,48956.38,49269.32
12-Jan-21,49228.26,49569.14,49079.57,49517.11
13-Jan-21,49763.93,49795.19,49073.85,49492.32
14-Jan-21,49432.83,49663.58,49182.37,49584.16
15-Jan-21,49656.71,49656.71,48795.79,49034.67
18-Jan-21,49061.22,49122.23,48403.97,48564.27
19-Jan-21,48900.31,49499.86,48805.54,49398.29
20-Jan-21,49508.79,49874.42,49373.68,49792.12
21-Jan-21,50096.57,50184.01,49398.86,49624.76
22-Jan-21,49594.95,49676.88,48832.08,48878.54
25-Jan-21,49253.68,49263.15,48274.92,48347.59
27-Jan-21,48385.28,48387.25,47269.6,47409.93
28-Jan-21,46834.57,47172.02,46518.48,46874.36
29-Jan-21,47423.47,47423.66,46160.46,46285.77
01-Feb-21,46617.95,48764.4,46433.65,48600.61
02-Feb-21,49193.26,50154.48,49193.26,49797.72
03-Feb-21,50231.06,50526.39,49515.88,50255.75
04-Feb-21,50212.25,50687.51,49926.45,50614.29
05-Feb-21,51031.39,51073.27,50565.29,50731.63
08-Feb-21,51146.67,51523.38,51146.67,51348.77
09-Feb-21,51484.23,51835.86,51193.93,51329.08
10-Feb-21,51355.89,51512.86,50846.22,51309.39
11-Feb-21,51165.84,51592.45,51157.31,51531.52
12-Feb-21,51614.77,51804.58,51260.62,51544.3
15-Feb-21,51907.75,52235.97,51886.46,52154.13
16-Feb-21,52400.03,52516.76,51863.61,52104.17
17-Feb-21,51996.94,52078.15,51586.34,51703.83
18-Feb-21,51903.96,51903.96,51186.68,51324.69
19-Feb-21,51238.02,51432.99,50624.33,50889.76
22-Feb-21,50910.51,50986.03,49617.37,49744.32
23-Feb-21,49994.85,50327.31,49659.85,49751.41
24-Feb-21,49763.94,50881.17,49648.78,50781.69
25-Feb-21,51207.61,51386.12,50991.76,51039.31
26-Feb-21,50256.71,50400.31,48890.48,49099.99
01-Mar-21,49747.71,50058.42,49440.46,49849.84
02-Mar-21,50258.09,50439.82,49807.12,50296.89
03-Mar-21,50738.21,51539.89,50512.84,51444.65
04-Mar-21,50812.14,51256.55,50539.92,50846.08
05-Mar-21,50517.36,50886.19,50160.54,50405.32
08-Mar-21,50654.02,50985.77,50318.26,50441.07
09-Mar-21,50714.16,51111.94,50396.1,51025.48
10-Mar-21,51404.68,51430.43,51048.93,51279.51
12-Mar-21,51660.98,51821.84,50538.43,50792.08
15-Mar-21,50773.47,50834.78,49799.07,50395.08
16-Mar-21,50608.42,50857.98,50289.44,50363.96
17-Mar-21,50436.02,50561.12,49718.65,49801.62
18-Mar-21,50161.25,50296.35,48962.36,49216.52
19-Mar-21,48881.19,50003.58,48586.93,49858.24
22-Mar-21,49878.77,49878.77,49281.02,49771.29
23-Mar-21,49876.21,50264.65,49661.92,50051.44
24-Mar-21,49786.47,49854.58,49120.34,49180.31
25-Mar-21,49201.98,49247.95,48236.35,48440.12
26-Mar-21,48969.25,49234.66,48699.91,49008.5
30-Mar-21,49331.68,50268.45,49331.68,50136.58
31-Mar-21,50049.12,50050.32,49442.5,49509.15
01-Apr-21,49868.53,50092.48,49478.53,50029.83
05-Apr-21,50020.91,50028.67,48580.8,49159.32
06-Apr-21,49441.13,49582.26,48936.35,49201.39
07-Apr-21,49277.09,49900.13,49093.9,49661.76
08-Apr-21,49885.26,50118.08,49581.61,49746.21
09-Apr-21,49743.39,49906.91,49461.01,49591.32
12-Apr-21,48956.65,48956.65,47693.44,47883.38
13-Apr-21,47991.53,48627.43,47775.32,48544.06
15-Apr-21,48512.77,48887.85,48010.55,48803.68
16-Apr-21,48935.74,49089.55,48694.49,48832.03
19-Apr-21,47940.81,48020.79,47362.71,47949.42
20-Apr-21,48473.04,48478.34,47438.5,47705.8
22-Apr-21,47501.71,48143.16,47204.5,48080.67
23-Apr-21,47863.81,48265.39,47669.55,47878.45
26-Apr-21,48197.37,48667.98,48152.24,48386.51
27-Apr-21,48424.08,49009.26,48399.53,48944.14
28-Apr-21,49066.64,49801.48,49066.64,49733.84
29-Apr-21,50093.86,50375.77,49535.98,49765.94
30-Apr-21,49360.89,49569.42,48698.08,48782.36
03-May-21,48356.01,48863.23,48028.07,48718.52
04-May-21,48881.63,48996.53,48149.45,48253.51
05-May-21,48569.12,48742.72,48254.32,48677.55
06-May-21,48877.78,49011.31,48614.11,48949.76
07-May-21,49169.14,49417.64,49036.38,49206.47
10-May-21,49496.05,49617.47,49412.05,49502.41
11-May-21,49066.45,49304.47,48988.18,49161.81
12-May-21,49171.28,49171.28,48550.72,48690.8
14-May-21,48898.93,48898.93,48473.43,48732.55
17-May-21,48990.7,49628.42,48923.13,49580.73
18-May-21,49986.68,50313.25,49959.2,50193.33
19-May-21,50088.81,50279.01,49831.4,49902.64
20-May-21,49971.52,50099.17,49496.78,49564.86
21-May-21,49833.98,50591.12,49832.72,50540.48
24-May-21,50727.28,50857.59,50465.9,50651.9
25-May-21,50922.32,50961.35,50474.34,50637.53
26-May-21,50899.58,51072.61,50620.45,51017.52
27-May-21,51128.8,51282.9,50891.66,51115.22
28-May-21,51381.27,51529.32,51258.69,51422.88
31-May-21,51476.22,52013.22,51179.94,51937.44
01-Jun-21,52067.51,52228.65,51808.88,51934.88
02-Jun-21,51749.1,51913.92,51450.58,51849.48
03-Jun-21,52121.58,52273.23,51942.2,52232.43
04-Jun-21,52367.52,52389.02,51952.7,52100.05
07-Jun-21,52231.38,52378.69,52054.76,52328.51
08-Jun-21,52428.72,52432.43,52135.04,52275.57
09-Jun-21,52401.41,52446.92,51717.07,51941.64
10-Jun-21,52143.9,52346.35,51957.92,52300.47
11-Jun-21,52477.19,52641.53,52388.95,52474.76
14-Jun-21,52492.34,52590.92,51936.31,52551.53
15-Jun-21,52751.83,52869.51,52671.29,52773.05
16-Jun-21,52782.21,52816.31,52425.57,52501.98
17-Jun-21,52122.25,52523.88,52040.51,52323.33
18-Jun-21,52568.07,52586.41,51601.11,52344.45
21-Jun-21,51887.55,52629.18,51740.19,52574.46
22-Jun-21,52885.04,53057.11,52520.55,52588.71
23-Jun-21,52912.35,52912.35,52264.12,52306.08
24-Jun-21,52514.57,52830.68,52385.05,52699
25-Jun-21,52877.16,52973.07,52614.49,52925.04
28-Jun-21,53126.73,53126.73,52673.5,52735.59
29-Jun-21,52795.76,52816.42,52477.77,52549.66
30-Jun-21,52651.09,52875.92,52448.64,52482.71
01-Jul-21,52638.5,52638.5,52281.01,52318.6
02-Jul-21,52434.55,52527.9,52177.68,52484.67
05-Jul-21,52682.89,52919.17,52604.35,52880
06-Jul-21,52874.85,53129.37,52804.18,52861.18
07-Jul-21,52919.71,53105.41,52751.76,53054.76
08-Jul-21,53065.69,53103.03,52428.84,52568.94
09-Jul-21,52508.24,52555.73,52228.01,52386.19
12-Jul-21,52634.33,52700.51,52208.96,52372.69
13-Jul-21,52694.89,52806.86,52545.68,52769.73
14-Jul-21,52801.44,52978.58,52611.97,52904.05
15-Jul-21,52968.89,53266.12,52948.43,53158.85
16-Jul-21,53244.4,53290.81,52997.09,53140.06
19-Jul-21,52606.99,52821.17,52405.89,52553.4
20-Jul-21,52432.88,52465.03,52013.51,52198.51
22-Jul-21,52494.56,52867.26,52471.23,52837.21
23-Jul-21,52967.87,53114.7,52653.77,52975.8
26-Jul-21,52985.26,53103.42,52783.63,52852.27
27-Jul-21,52995.72,53024.7,52433.18,52578.76
28-Jul-21,52673.69,52673.69,51802.73,52443.71
29-Jul-21,52693.53,52777.18,52561.39,52653.07
30-Jul-21,52792.36,52910.23,52533.91,52586.84
02-Aug-21,52901.28,52986.77,52804.08,52950.63
03-Aug-21,53125.97,53887.98,53088.35,53823.36
04-Aug-21,54071.22,54465.91,54034.31,54369.77
05-Aug-21,54576.64,54717.24,54230.89,54492.84
06-Aug-21,54492.17,54633.58,54210.33,54277.72
09-Aug-21,54385.71,54584.73,54124.27,54402.85
10-Aug-21,54461.31,54779.66,54308.77,54554.66
11-Aug-21,54730.65,54758.74,54167.2,54525.93
12-Aug-21,54641.22,54874.1,54536.65,54843.98
13-Aug-21,54911.95,55487.79,54905.49,55437.29
16-Aug-21,55479.74,55680.75,55281.02,55582.58
17-Aug-21,55565.64,55854.88,55386.49,55792.27
18-Aug-21,56073.31,56118.57,55514.89,55629.49
20-Aug-21,55159.13,55543.16,55013.98,55329.32
23-Aug-21,55695.84,55781.17,55240.29,55555.79
24-Aug-21,55647.11,56023.22,55536.84,55958.98
25-Aug-21,56067.06,56198.13,55899.96,55944.21
26-Aug-21,55988.41,56112.39,55854.07,55949.1
27-Aug-21,55862.93,56188.23,55675.87,56124.72
30-Aug-21,56329.25,56958.27,56309.86,56889.76
31-Aug-21,56995.15,57625.26,56859.1,57552.39
01-Sep-21,57763.53,57918.71,57263.9,57338.21
02-Sep-21,57423.65,57892.37,57287.79,57852.54
03-Sep-21,57983.45,58194.79,57764.07,58129.95
06-Sep-21,58411.62,58515.85,58200.29,58296.91
07-Sep-21,58418.69,58553.07,58005.07,58279.48
08-Sep-21,58350.56,58372.94,57924.48,58250.26
09-Sep-21,58172.98,58334.59,58084.99,58305.07
13-Sep-21,58262.11,58314.64,57944.63,58177.76
14-Sep-21,58482.62,58482.62,58214.29,58247.09
15-Sep-21,58354.11,58777.06,58272.82,58723.2
16-Sep-21,58881.04,59204.29,58700.5,59141.16
17-Sep-21,59409.98,59737.32,58871.73,59015.89
20-Sep-21,58634.69,59202.56,58389.69,58490.93
21-Sep-21,58630.06,59084.51,58232.54,59005.27
22-Sep-21,59166.15,59178.44,58878.38,58927.33
23-Sep-21,59358.18,59957.25,59243.15,59885.36
24-Sep-21,60158.76,60333,59946.55,60048.47
27-Sep-21,60303.79,60412.32,59887.19,60077.88
28-Sep-21,60285.89,60288.44,59045.53,59667.6
29-Sep-21,59296.54,59678.66,59111.41,59413.27
30-Sep-21,59549.57,59557.24,59019.28,59126.36
01-Oct-21,58889.77,58890.08,58551.14,58765.58
04-Oct-21,59143,59548.82,58952.11,59299.32
05-Oct-21,59320.14,59778.87,59127.04,59744.88
06-Oct-21,59942,59963.57,59079.86,59189.73
07-Oct-21,59632.81,59914.91,59597.06,59677.83
08-Oct-21,59960.39,60212.3,59830.93,60059.06
11-Oct-21,60099.68,60476.13,59811.42,60135.78
12-Oct-21,60045.75,60331.74,59885.39,60284.31
13-Oct-21,60619.91,60836.63,60452.29,60737.05
14-Oct-21,61088.82,61353.25,60978.04,61305.95
18-Oct-21,61817.32,61963.07,61624.65,61765.59
19-Oct-21,62156.48,62245.43,61594.29,61716.05
20-Oct-21,61800.07,61880.36,61109.29,61259.96
21-Oct-21,61557.94,61621.2,60485.65,60923.5
22-Oct-21,61044.54,61420.13,60551.15,60821.62
25-Oct-21,61398.75,61404.99,60449.68,60967.05
26-Oct-21,60997.9,61497.71,60791.29,61350.26
27-Oct-21,61499.7,61576.85,60989.39,61143.33
28-Oct-21,61081,61081,59777.58,59984.7
29-Oct-21,59857.33,60132.81,59089.37,59306.93
01-Nov-21,59577.48,60220.21,59355.12,60138.46
02-Nov-21,60360.61,60421.14,59881.75,60029.06
03-Nov-21,60275.21,60361.82,59552.49,59771.92
04-Nov-21,60207.97,60207.97,60011.46,60067.62
08-Nov-21,60385.76,60609.16,59779.19,60545.61
09-Nov-21,60609.72,60670.47,60213.64,60433.45
10-Nov-21,60295.26,60506.5,59967.45,60352.82
11-Nov-21,60291.7,60293.25,59656.26,59919.69
12-Nov-21,60248.04,60750.72,59997.96,60686.69
15-Nov-21,60837.4,61036.56,60597.36,60718.71
16-Nov-21,60755.38,60802.79,60199.56,60322.37
17-Nov-21,60179.93,60426.61,59944.77,60008.33
18-Nov-21,59968.75,60177.52,59376.5,59636.01
22-Nov-21,59710.48,59778.37,58011.92,58465.89
23-Nov-21,57983.95,58834.95,57718.34,58664.33
24-Nov-21,58839.32,58968.12,58143.44,58340.99
25-Nov-21,58363.93,58901.58,58143.86,58795.09
26-Nov-21,58254.79,58254.79,56993.89,57107.15
29-Nov-21,57028.04,57626.51,56382.93,57260.58
30-Nov-21,57272.08,58183.77,56867.51,57064.87
01-Dec-21,57365.85,57846.45,57346.78,57684.79
02-Dec-21,57781.48,58513.93,57680.41,58461.29
03-Dec-21,58555.58,58757.09,57640.57,57696.46
06-Dec-21,57778.01,57781.46,56687.62,56747.14
07-Dec-21,57125.98,57905.63,56992.27,57633.65
08-Dec-21,58158.56,58702.65,58122.27,58649.68
09-Dec-21,58831.41,58889.96,58340.85,58807.13
10-Dec-21,58696.71,58859.91,58414.76,58786.67
13-Dec-21,59103.72,59203.37,58242.8,58283.42
14-Dec-21,58059.76,58322.42,57803.87,58117.09
15-Dec-21,58122,58218.25,57671.61,57788.03
16-Dec-21,58243.43,58337.2,57683.11,57901.14
17-Dec-21,58021.63,58062.28,56950.98,57011.74
20-Dec-21,56517.26,56538.15,55132.68,55822.01
21-Dec-21,56320.02,56900.74,56047.22,56319.01
22-Dec-21,56599.47,56989.01,56471.03,56930.56
23-Dec-21,57251.15,57490.52,57146.28,57315.28
24-Dec-21,57567.11,57623.69,56813.42,57124.31
27-Dec-21,56948.33,57512.01,56543.08,57420.24
28-Dec-21,57751.21,57952.48,57650.29,57897.48
29-Dec-21,57892.31,58097.07,57684.58,57806.49
30-Dec-21,57755.4,58010.03,57578.99,57794.32
31-Dec-21,57849.76,58409.3,57846.52,58253.82
